human_time	tobii_timestamp_us	x_position	y_position
2026-01-30 15:30:53.221	1380199723355	0.12257	1.73829
2026-01-30 15:30:53.221	1380199753536	0.120826	1.73997
2026-01-30 15:30:53.222	1380199814007	-0.0268363	1.70897
2026-01-30 15:30:53.223	1380199844160	-0.0317408	1.7546
2026-01-30 15:30:53.224	1380199874428	0.105062	1.74671
2026-01-30 15:30:53.225	1380199904562	-0.0371904	1.71325
2026-01-30 15:30:53.226	1380199934627	-0.040186	1.74548
2026-01-30 15:30:53.227	1380199964858	0.0975338	1.74378
2026-01-30 15:30:53.228	1380199995232	0.0959018	1.74537
2026-01-30 15:30:53.229	1380200025261	-0.0460048	1.79034
2026-01-30 15:30:53.229	1380200055607	-0.0482476	1.79549
2026-01-30 15:30:53.230	1380200085663	0.0884201	1.71802
2026-01-30 15:30:53.231	1380200115999	-0.0436394	1.75457
2026-01-30 15:30:53.232	1380200146056	0.0884353	1.72519
2026-01-30 15:30:53.232	1380200176411	0.088474	1.72767
2026-01-30 15:30:53.233	1380200206476	-0.0417014	1.75926
2026-01-30 15:30:53.234	1380200236785	0.0953241	1.73094
2026-01-30 15:30:53.234	1380200267122	-0.0362964	1.76332
2026-01-30 15:30:53.235	1380200297409	-0.0347855	1.76343
2026-01-30 15:30:53.236	1380200327561	-0.0341753	1.76163
2026-01-30 15:30:53.237	1380200357714	0.107599	1.73457
2026-01-30 15:30:53.238	1380200388033	-0.0294891	1.76023
2026-01-30 15:30:53.239	1380200418397	-0.0311622	1.74704
2026-01-30 15:30:53.241	1380200448647	-0.0274586	1.75329
2026-01-30 15:30:53.242	1380200478702	-0.0286513	1.73818
2026-01-30 15:30:53.243	1380200508741	-0.0264267	1.73675
2026-01-30 15:30:53.244	1380200539105	0.107711	1.77439
2026-01-30 15:30:53.245	1380200569258	-0.03834	1.78459
2026-01-30 15:30:53.246	1380200599411	0.0890026	1.81602
2026-01-30 15:30:53.246	1380200629563	-0.0485146	1.84299
2026-01-30 15:30:53.247	1380200659716	-0.0490583	1.87148
2026-01-30 15:30:53.248	1380200689983	0.0761803	1.84521
2026-01-30 15:30:53.249	1380200720022	0.0775469	1.84856
2026-01-30 15:30:53.250	1380200750349	0.0825204	1.8551
2026-01-30 15:30:53.251	1380200780599	0.0888819	1.86064
2026-01-30 15:30:53.251	1380200810752	0.0887595	1.86233
2026-01-30 15:30:53.252	1380200841001	0.087257	1.86416
2026-01-30 15:30:53.253	1380200871153	0.0867575	1.86517
2026-01-30 15:30:53.254	1380200901403	0.0871819	1.86801
2026-01-30 15:30:53.256	1380200931786	0.0882579	1.86913
2026-01-30 15:30:53.257	1380200961842	-0.0376108	1.83194
2026-01-30 15:30:53.258	1380200992169	-0.0329632	1.83695
2026-01-30 15:30:53.259	1380201022419	-0.0290117	1.83792
2026-01-30 15:30:53.260	1380201052669	-0.0278422	1.83247
2026-01-30 15:30:53.261	1380201082996	-0.0277082	1.82267
2026-01-30 15:30:53.262	1380201113052	-0.0278024	1.80794
2026-01-30 15:30:53.263	1380201143159	-0.0271535	1.7928
2026-01-30 15:30:53.263	1380201173312	-0.0284309	1.78336
2026-01-30 15:30:53.264	1380201203658	-0.0255902	1.78608
2026-01-30 15:30:53.265	1380201233926	-0.0226486	1.78727
2026-01-30 15:30:53.266	1380201264079	-0.0192527	1.7895
2026-01-30 15:30:53.267	1380201294327	-0.0189312	1.783
2026-01-30 15:30:53.267	1380201324462	-0.0175979	1.77332
2026-01-30 15:30:53.268	1380201354712	-0.0179563	1.76662
2026-01-30 15:30:53.269	1380201384961	-0.0116361	1.75954
2026-01-30 15:30:53.270	1380201415017	-0.00168538	1.74979
2026-01-30 15:30:53.271	1380201445317	0.0076406	1.74233
2026-01-30 15:30:53.273	1380201475567	0.0171121	1.733
2026-01-30 15:30:53.274	1380201505913	0.0242133	1.72859
2026-01-30 15:30:53.274	1380201536213	0.0303425	1.72611
2026-01-30 15:30:53.275	1380201566366	0.0359611	1.72332
2026-01-30 15:30:53.276	1380201596614	0.0407953	1.72057
2026-01-30 15:30:53.277	1380201626960	0.0441595	1.7198
2026-01-30 15:30:53.278	1380201657210	0.0494782	1.71307
2026-01-30 15:30:53.279	1380201687460	0.054389	1.70635
2026-01-30 15:30:53.279	1380201717497	0.0594172	1.69949
2026-01-30 15:30:53.280	1380201747797	0.0641479	1.69635
2026-01-30 15:30:53.281	1380201778143	0.0680334	1.69393
2026-01-30 15:30:53.282	1380201808296	0.200275	1.84814
2026-01-30 15:30:53.283	1380201838430	0.0491827	1.69038
2026-01-30 15:30:53.284	1380201868574	0.0356237	1.70856
2026-01-30 15:30:53.285	1380201898649	0.148805	1.85962
2026-01-30 15:30:53.286	1380201928783	-0.00252803	1.78876
2026-01-30 15:30:53.287	1380201958909	-0.0156121	1.8227
2026-01-30 15:30:53.288	1380201988964	0.0976739	1.85885
2026-01-30 15:30:53.289	1380202019273	0.0883183	1.8608
2026-01-30 15:30:53.290	1380202049573	0.0834621	1.86189
2026-01-30 15:30:53.291	1380202079726	-0.0403158	1.85885
2026-01-30 15:30:53.292	1380202110045	-0.040824	1.83903
2026-01-30 15:30:53.293	1380202140083	-0.0396951	1.84298
2026-01-30 15:30:53.293	1380202170208	-0.0386855	1.84144
2026-01-30 15:30:53.294	1380202200554	-0.0373709	1.84134
2026-01-30 15:30:53.295	1380202230822	-0.0358664	1.81133
2026-01-30 15:30:53.296	1380202260938	-0.0372633	1.78342
2026-01-30 15:30:53.297	1380202291257	-0.0334494	1.76949
2026-01-30 15:30:53.298	1380202321505	-0.031698	1.75369
2026-01-30 15:30:53.298	1380202351631	-0.0291179	1.74436
2026-01-30 15:30:53.299	1380202381765	-0.0250536	1.73941
2026-01-30 15:30:53.300	1380202412015	-0.0199857	1.73618
2026-01-30 15:30:53.301	1380202442168	-0.0170915	1.736
2026-01-30 15:30:53.302	1380202472514	-0.0138376	1.73485
2026-01-30 15:30:53.303	1380202502602	-0.0120125	1.7327
2026-01-30 15:30:53.304	1380202532869	-0.0102994	1.72922
2026-01-30 15:30:53.305	1380202563169	-0.00744578	1.73071
2026-01-30 15:30:53.305	1380202593419	-0.00532676	1.73242
2026-01-30 15:30:53.306	1380202623710	-0.0048034	1.73287
2026-01-30 15:30:53.307	1380202654056	-0.00416003	1.73533
2026-01-30 15:30:53.308	1380202684306	-0.00286378	1.73687
2026-01-30 15:30:53.308	1380202714615	-0.00257574	1.73601
2026-01-30 15:30:53.309	1380202744961	-0.00206109	1.73601
2026-01-30 15:30:53.310	1380202775114	-0.00424957	1.73744
2026-01-30 15:30:53.311	1380202805169	-0.00750062	1.74502
2026-01-30 15:30:53.312	1380202835322	-0.0140832	1.78434
2026-01-30 15:30:53.312	1380202865493	0.123589	1.84952
2026-01-30 15:30:53.313	1380202895572	-0.0273796	1.77205
2026-01-30 15:30:53.314	1380202925725	-0.0326698	1.7696
2026-01-30 15:30:53.315	1380202955832	-0.0335258	1.78952
2026-01-30 15:30:53.315	1380202986100	-0.0360035	1.78344
2026-01-30 15:30:53.316	1380203016391	-0.0383819	1.78224
2026-01-30 15:30:53.318	1380203046640	-0.0386473	1.79857
2026-01-30 15:30:53.319	1380203076958	-0.0345121	1.79288
2026-01-30 15:30:53.320	1380203107190	-0.030579	1.79539
2026-01-30 15:30:53.321	1380203137361	-0.0268675	1.79521
2026-01-30 15:30:53.322	1380203167707	-0.023972	1.7944
2026-01-30 15:30:53.322	1380203198034	-0.0209839	1.79642
2026-01-30 15:30:53.323	1380203228109	-0.0198937	1.79574
2026-01-30 15:30:53.324	1380203258244	-0.0183305	1.79511
2026-01-30 15:30:53.325	1380203288299	-0.0160373	1.79639
2026-01-30 15:30:53.325	1380203318471	-0.0136922	1.79764
2026-01-30 15:30:53.326	1380203348720	-0.0102993	1.79686
2026-01-30 15:30:53.327	1380203379048	-0.0066244	1.79577
2026-01-30 15:30:53.328	1380203409315	-0.00259317	1.79591
2026-01-30 15:30:53.329	1380203439565	-0.00160248	1.79188
2026-01-30 15:30:53.330	1380203469653	-0.00178312	1.78883
2026-01-30 15:30:53.331	1380203499825	8.39829e-05	1.78423
2026-01-30 15:30:53.331	1380203530134	0.0057532	1.7797
2026-01-30 15:30:53.333	1380203560402	0.0135732	1.77532
2026-01-30 15:30:53.334	1380203590651	0.0195713	1.76962
2026-01-30 15:30:53.335	1380203620901	0.0246503	1.76613
2026-01-30 15:30:53.335	1380203651247	0.0299679	1.76397
2026-01-30 15:30:53.336	1380203681519	0.0342993	1.76201
2026-01-30 15:30:53.337	1380203711773	0.036537	1.76009
2026-01-30 15:30:53.338	1380203741829	0.0383036	1.75827
2026-01-30 15:30:53.339	1380203772078	0.0392236	1.75778
2026-01-30 15:30:53.340	1380203802231	0.0397081	1.75785
2026-01-30 15:30:53.341	1380203832481	0.0401196	1.75901
2026-01-30 15:30:53.341	1380203862753	0.0398643	1.76153
2026-01-30 15:30:53.342	1380203893007	0.0399044	1.76408
2026-01-30 15:30:53.343	1380203923164	0.0397598	1.76486
2026-01-30 15:30:53.344	1380203953317	0.0395525	1.76577
2026-01-30 15:30:53.345	1380203983567	0.0400789	1.76698
2026-01-30 15:30:53.345	1380204013622	0.0406259	1.76775
2026-01-30 15:30:53.346	1380204043968	0.0414751	1.76813
2026-01-30 15:30:53.347	1380204074025	0.042676	1.76783
2026-01-30 15:30:53.348	1380204104371	0.0439269	1.76776
2026-01-30 15:30:53.349	1380204134556	0.0448499	1.7693
